algorithm,train_data_file,mean_f1,std_f1
GB,data/train/data_tc_800_1_ 2_clean_lemmatization.pkl,0.91,0.01
NB,data/train/data_tfidf_5000_1_ 3_clean.pkl,0.96,0.0
SVM,data/train/data_tfidf_5000_1_ 3_clean.pkl,0.53,0.04
LR,data/train/data_tfidf_5000_1_ 3_clean.pkl,0.75,0.03
RF,data/train/data_tfidf_5000_1_ 3_clean.pkl,0.94,0.0
GB,data/train/data_tfidf_5000_1_ 3_clean.pkl,0.9,0.01
NB,data/train/data_tfidf_1000_1_ 2_clean.pkl,0.95,0.01
SVM,data/train/data_tfidf_1000_1_ 2_clean.pkl,0.53,0.02
LR,data/train/data_tfidf_1000_1_ 2_clean.pkl,0.76,0.01
RF,data/train/data_tfidf_1000_1_ 2_clean.pkl,0.94,0.01
GB,data/train/data_tfidf_1000_1_ 2_clean.pkl,0.91,0.01
