Case Study Id,Institution,Unit of Assessment,Title,Summary of the impact
23918,"
    University of Edinburgh and SRUC, Scotland's Rural College
    ","Agriculture, Veterinary and Food Science","
    Promoting public and policy-maker understanding of the benefits of
      genetic
      modification (GM) technology in chickens; transgenic birds that do not
      transmit avian influenza.
    ","
    Impact: ____Public policy and public engagement: public awareness
      towards GM animals.
    Significance: The chicken industry is worth &#163;2 billion per annum
      in the UK alone. GM technology
      offers increased productivity, biosecurity and welfare as well as
      biotechnology applications in
      production of protein therapeutics. Realization of this technology
      requires public acceptance.
    Beneficiaries: general public, applied researchers, pharmaceutical
      industry, poultry breeding
      companies
    Attribution: Work performed by Professor Sang, Dr. Clinton (Roslin
      Institute, now part of UoE)
    Reach: International: ____The work has been used to advise on policy
      for the USA (FDA) and
      European Food Safety Agency. As a further example Professor Sang's ""our
      changing world
      lecture"" has been viewed 1054 times across multiple countries.
    "
27458,"
    Anglia Ruskin University
    ",Biological Sciences,"
    The black squirrel: enhancing public understanding and engagement in
      science
    ","
    Two areas of impact are described:
    (i) Impact associated with increased national and international public
      understanding of science via extensive national and international media
      coverage and the development of an interactive website (www.blacksquirrelproject.org),
      designed to engage members of the public and to explain genetic concepts.
      Media exposure has reached an estimated 45 million people in the UK alone.
    (ii) _____Impact associated with increased public participation in science
      (`citizen science') by seeking the involvement of the public to use the
      interactive website to report on squirrel populations, thus providing a
      research tool to generate data and to inform the public.
    "
39882,"
    UNIVERSITY OF THE ARTS LONDON
    ","Art and Design: History, Practice and Theory","
    Science/Art collaborations by Professor Helen Storey
    ","
    This case study focuses on three Science/Art collaborations Primitive
        Streak, Wonderland and Catalytic Clothing (CatClo)
      undertaken since 1997 by Professor Helen Storey. Storey's work is
      genuinely collaborative, spanning arts, sciences and new technology
      fields, and produces projects which illuminate aspects of science and
      well-being in ways that engage with the public, communicate complicated
      concepts, and demonstrate the potential of science in an innovative and
      accessible manner. The projects have reached huge audiences and have made
      a significant contribution to ____raising public awareness of science and
      issues faced by society.
    "
40353,"
    Canterbury Christ Church University
    ","Agriculture, Veterinary and Food Science","
    Improving Captive Animal Welfare through Cognition-Related Research
    ","
    Research undertaken at Canterbury Christ Church University (CCCU) studied
      habitat enrichment in captive coyotes (with the National Wildlife Research
      Center in Utah), and herd composition of donkeys, horses and mules (with
      the Donkey Sanctuary). These studies observed social and environmental
      interactions, addressing important welfare indicators in gregarious
      species. The work identified welfare issues in both sites and provided the
      necessary evidence to allow improvements to be made.
    Specifically, this research has:
    1) _____led to changes in the husbandry practice and policy in both partner
      institutions that have improved animal welfare;
    2) improved how the Donkey Sanctuary trains international partners and
      undertakes welfare education.
    "
40936,"
    University of Glasgow
    ",Biological Sciences,"
    Zombie Institute for Theoretical Studies: effectively engaging young
      people
      with bioscience
    ","
    Young adults are a notoriously difficult group to engage in science
      education &#8212; but how do they
      react to a `Theoretical Zombiologist' from the University of
      Glasgow's `Zombie Institute for
        Theoretical Studies (ZITS)'? Using an innovative platform to target
      the delivery of complex
      biomedical science to young people, the `Zombie Science' comedy show has
      effectively engaged
      more than 26,000 young people and adults at more than 300 events, touring
      festivals and
      secondary schools around the UK. More than 90% of the audience members
      indicated that they
      ____had learnt something new about biosciences from the show. The show has
      received positive,
      enthusiastic reviews &#8212; lifting science from the pages of a textbook and
      bringing it, literally, back to
      life.
    "
42992,"
    University of Southampton
    ",Earth Systems and Environmental Sciences,"
    07-02 Explore the Deep: Public Engagement with Deep-Ocean Research
    ","
    By putting public engagement at the heart of our deep-sea research, we
      have delivered benefits to society of generating inspiration and
        curiosity about science, ____raising public awareness of our
        research insights and their context, and providing cultural
        enrichment by supporting lifelong learning. We have achieved these
      impacts through: interactions with print, online, and broadcast media that
      have brought our research to millions; series of talks and events that
      have inspired specific audiences of tens of thousands; and a network of
      interactive online resources that has enabled people worldwide to share in
      our exploration of deep-ocean environments and their biodiversity.
    "
44010,"
    University of Exeter
    ",Biological Sciences,"
    Ocean acidification Research as a model for Environmental Education in
      Secondary Schools
    ","
    Dr Ceri Lewis' research expeditions to the Canadian High Arctic to
      investigate impacts of ocean acidification, have informed educational
      material, introducing oceans education to schools, both nationally and
      internationally. Lewis worked with Digital Explorer, a non-profit
      organisation, to provide free lesson plans and multi-media resources on
      ocean acidification and Arctic climate change to classrooms, both
      nationally and internationally. The resulting education resources,
      informed by Ceri's fieldwork, are already being used by 1,225 UK secondary
      schools (i.e. 30% of secondary schools in the UK), reaching over 658,000
      pupils within the first year of being launched. These school resources are
      also being used internationally including a training programme in Alaska
      and outreach examples across Europe.
    "
44019,"
    University of Stirling
    ",Earth Systems and Environmental Sciences,"
    Conservation of Bumblebees
    ","
    The Bumblebee Conservation Trust (BBCT), a conservation charity launched
      at the University of Stirling in 2006, was aimed at bridging the gap
      between research findings and conservation practice. BBCT now has 11
      staff, offices and staff based in England, Wales and Scotland, 8,000
      paying members, and has involved &gt;12,000 people in bumblebee recording
      or conservation. Other impacts include awareness raising through extensive
      media coverage for bumblebee conservation, creation of an education pack
      for primary schools, joint initiatives with a nationwide Garden Centre
      chain (Wyevale) and a supermarket (Morrisons), helping to create &gt;2,000
      ha of flower rich habitat, involvement in a reintroduction attempt for the
      locally extinct short-haired bumblebee, political lobbying and influencing
      national and international policy.
    "
30,"
University of East Anglia
",History,"
The Great Hospital Online
","
Drawing upon her monograph and other (Wellcome Trust supported) publications on the Norwich
Great Hospital, Rawcliffe provided the material for a website (www.thegreathospital.ac.uk)
designed to bring this unique institution to the attention of a wider public and to enable the
Hospital's Trustees to promote and preserve their Grade One listed buildings. Of the various
English medieval hospital to have survived the Dissolution of the Monasteries, this is the only one
that continues to discharge a charitable function to the present day with its archives and fabric
almost intact. Through the AHRC Knowledge Catalyst Scheme, and in partnership with the
Trustees of the Great Hospital and the Norwich Heritage and Regeneration Trust (HEART), over
&#163;26,800 was raised for the creation of an online resource, complete with video models, to interest
and inform schools, tourists, local history groups and to bring the Hospital's unique attraction to
the attention of the General public. The project has reached an international audience and has
contributed significantly to UNESCO recognition for one of Norwich's iconic buildings.
"
63,"
University of Greenwich
","Psychology, Psychiatry and Neuroscience","
Combating antisocial behaviour and pupils raising aspirations
","
Reducing youth anti-social behaviour and raising young people's educational aspirations are
international priorities. Research carried out by the University of Greenwich has provided the basis
for policy development on participation in higher education and has informed policy makers' views
about, and practitioners' work on, anti-social behaviour in schools in the UK and more widely. The
impact through partnerships with a local authority and a charity are also described, involving use of
an assessment toolkit called the Emotion, Behaviour, Aspiration Toolkit (eBAT) to address
factors that limit the aspirations and social mobility of young people. The work is located in the
university's Research Centre for Children Schools and Families, which has become a centre for
research on anti-social behaviour:
http://www2.gre.ac.uk/about/schools/health/research/healthsocial/ccsf.
"
547,"
    University of Ulster
    ",Law,"
    Gender, Conflict and Transition
    ","
    Transitional Justice Institute's (TJI) work on gender, conflict and
      transition demonstrates remarkable international impact, showing effects
      and benefits to institutional norms and policies, civil society
      positioning and legal enforcement at the state level. Knowledge transfer
      provided by TJI research has influenced policy and legal change in the
      regulation of gender norms in conflict and post-conflict settings. Debates
      triggered by TJI scholarly outputs have shaped policy agendas and critical
      responses to them. The impact is regional, national and international.
    "
548,"
    University of Ulster
    ",Law,"
    Amnesty, Accountability and Victims' Rights in Peace Processes
    ","
    This case study demonstrates that the Transitional Justice Institute
      (TJI) peace process research has substantially impacted on key
      stakeholders in multiple conflicted and post-conflict states. Impacts
      include developing sustained relationships with public officials to inform
      policymaking, making recommendations for legal changes, capacity building
      with local non-governmental organisations (NGOs) on peace process issues
      and addressing conflict-related abuses, informing public debate, and
      raising awareness of international and comparative legal standards among
      local judiciaries subsequently applied in their work. Impacts have
      benefited a range of users and contributed to growing sensitivity to
      victims' needs in conflict resolution.
    "
549,"
University of Kent
",Law,"
Promoting Awareness of Gender and Sexuality in Development Policy
","
Dr Kate Bedford's work has demonstrated the limits of existing frameworks for addressing gender
and sexuality in development policy and has had a significant impact in four main ways. First, it
has supported and influenced the work of the major NGOs (including Sexuality Policy Watch, and
the Bretton Woods Project/Action Aid) in holding development institutions to account on questions
of gender equality. Second, it has had substantial influence on the work of transnational public
bodies (including UNRISD), challenging conventional wisdom and stimulating debate among
policymakers. Third, it has had considerable impact on how development practitioners are taught,
in the UK and beyond. Finally, it has enjoyed a sustained influence in shaping a new area of
critical public debate, improving public understanding of sexuality and development and engaging
diverse international audiences. In the light of increased global attention to gender and
development (evident across several leading international institutions), Bedford's research has
stimulated important debate about policy orthodoxy and has directly influenced several campaigns
for policy change.
"
741,"
    University
        of Kent
    ",Politics and International Studies,"
    Asia's Missing Women: Shaping public debate on the security implications
      of imbalanced sex-ratios
    ","
    Den Boer's research into the relationship between extreme gender
      population imbalances and state security has shaped public and political
      debate within national and international media, influenced public policy
      and political campaigns, and affected the provision of data services
      within the Organisation
        for Economic Co-Operation and Development (OECD). The researchers'
      argument regarding Asia's missing women continues to inform journalists',
      NGOs', institutions', policy makers' and the wider public's understanding
      of the role played by gender imbalances when assessing state stability and
      security in situations as diverse as gendercide in Asia,
      youth uprisings and revolts, and gang rape in India.
    "
746,"
    University of Kent
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Enhancing Training and Performance in Elite Cycling
    ","
    This impact case study describes the development and application of
      models of training and performance in elite cycling. These models have
      been used by elite medal winning teams in their search for competitive
      advantage in the UK (by British Cycling and British Triathlon, including
      the GB Olympic Cycling and British Triathlon Teams and the British
      Paralympic Team) and internationally (by the Australian Institute of
      Sport). These new cycling models have provided the basis for the
      development of new training processes that are influencing the way in
      which many nations prepare their elite riders. This work has contributed
      directly to enhance elite sports science practice in the field of cycling
      and the competitive advantage for British teams to which it contributes is
      envied around the world. The adoption of the underlying algorithms for the
      `Wattbike' software has given our work a wider impact on sports practice
      and training methods, and it has been adapted for the `Map My Tracks'
      website which is used by sports enthusiasts worldwide.
    "
747,"
    University of Kent
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Informing Public Debate and Policy Makers on the Olympic Games Legacy
    ","
    Research by Dr Sakis Pappous on the legacy of the Athens 2004 Olympic
      Games in Greece has challenged conventional wisdom that sporting
      mega-events automatically lead to health benefits for the host population
      via a supposed increase in grassroots participation in sports and physical
      activity. These findings were reviewed by the British Medical Journal
      (BMJ) and mainstream British media (e.g., BBC and The Guardian) to
      stimulate and inform public debate on the health legacy of London 2012.
      Pappous's research has also informed the Department for Culture, Media and
      Sport, the House of Commons and the House of Lords about the difficulty in
      achieving sustained sports participation after the Olympic Games.
    Internationally, Pappous's research has informed debate in the US media
      (USA Today) and among sport managers and policy makers in Africa, South
      America and Europe. International policy makers informed and influenced by
      Pappous's findings include the Nigerian Minister of Sports and the Vice
      Director of the Colombian Department for Sport, Physical Activity and
      Leisure (COLDEPORTES). As a direct consequence of Pappous's findings, they
      now acknowledge that a broader strategy promoting an active lifestyle must
      be implemented if any sporting excitement caused by a mega-event is to
      sustain sports participation.
    "
942,"
    University of Kent and University of Greenwich
    ","Allied Health Professions, Dentistry, Nursing and Pharmacy","
    The Guide to Receptors and Channels: a key tool in the maintenance and
        development of Pharmacology.
    ","
    The Guide to Receptors and Channels has contributed to the
      development and maintenance of the intellectual infrastructure of
      pharmacology. The key tools it provides have influenced appropriate
      identification of lead drug targets and how best to study them and, as a
      result, it has received endorsement and financial support from the
      Pharmaceutical Industry. It is used widely as a teaching aid for
      undergraduates and research postgraduates and provides the general public
      with accurate information on prescription drug action. It led to the
      formation of the Guide to Pharmacology website in collaboration with the
      International Union of Basic and Clinical Pharmacology.
    "
975,"
University of Kent
","Psychology, Psychiatry and Neuroscience","
The first comprehensive theory-based treatment of firesetting
","
Every week, criminal firesetting in the UK causes 65 casualties or deaths (3,380 per year) and
costs &#163;42 million (&#163;2.2 billion per year; Arson Prevention Bureau, 2009). Remarkably, no
standardised offender treatment programmes have been developed for this common, costly and
tragic offence. Responding to this need, psychologists from the School of Psychology at the
University of Kent have recently developed the first empirically informed comprehensive theory of
firesetting, and from their theory, they have derived the first standardised treatment programmes
for firesetters. Already, the research is being used across the UK and Australia in the training,
assessment, and treatment practices of clinical professionals who work with adult firesetters.
Clinicians in the USA have also been trained in a treatment programme derived from the research.
As a result, enhanced, specialised treatment of firesetters is being provided in secure
establishments and community settings for the first time. Further, the assessment and treatment
programmes developed by our researchers now play a central role in the care, sentence planning
and parole decisions for firesetters in the UK.
"
976,"
    University of Kent
    ","Psychology, Psychiatry and Neuroscience","
    Developing assessment and treatment practices for female sexual offenders
    ","
    This impact case study is based on a body of research that has enhanced
      the assessment and treatment of female sexual offenders internationally.
      This clinical impact was underpinned by a series of unique qualitative and
      quantitative studies that led to the discovery of female sexual offenders'
      offence styles and cognitive characteristics. The work has resulted in the
      development of effective clinical practice training and guidelines. It has
      been used by professionals to enhance their assessment and treatment of
      female sexual offenders whose specific needs had not previously been
      identified.
    "
978,"
    University of Kent
    ","Music, Drama, Dance and Performing Arts","
    Changing Perceptions of Diabetes through Stand-Up Comedy &#8212; Changing
        Perceptions of Stand-Up Comedy through Diabetes
    ","
    Written and performed by Oliver Double, the stand-up comedy performance Saint
        Pancreas uses the medium of comedy to enhance public understanding
      of type 1 diabetes, and to challenge prevailing assumptions about the
      condition within and beyond the community of patients and their families.
      As a live performance and on DVD, the work has had impact on:
    
      diabetes sufferers
      diabetes organisations in the UK and the US
      charity and healthcare professionals
    
    Furthermore, within the field of stand-up comedy itself, it has
      contributed to challenging and broadening the aesthetic possibilities of
      the form.
    "
981,"
    University of Kent
    ","Music, Drama, Dance and Performing Arts","
    Changing minds, changing behaviour: drama and autism
    ","
    The AHRC-funded project `Imagining Autism' has had a significant, and in
      some cases life-changing, impact on the participants and their families,
      as well as on educational psychologists, charities and experts working in
      the fields of autism and cognitive functioning. The impacts are two-fold:
    
      Significant and lasting behavioural changes in the 22 participating
        autistic children;
      Revaluation of drama and play-based methods to promote well-being in
        autistic children, specifically by: educational psychologists and
        teaching staff at Helen Allison School; the Director of Research at the
        National Autistic Society; and the Consultant Community Paediatrician at
        the Children's Assessment Centre, Kent and Canterbury Hospital, along
        with 15-20 of her staff.
    
    The project has challenged stereotypes and departed from skills-based
      interventions (which focus narrowly on specific cognitive or social
      skills, such as counting, or dressing) prevalent in education and health
      settings, leading to new understandings of the capabilities of a
      marginalised group. It has demonstrated its capacity to transform lives.
    "
1112,"
    University of East Anglia
    ",Education,"
    Children's participation in decision-making in primary classrooms
    ","
    The case study addresses the impact of the project `Children Decide:
      power, participation and purpose in the primary classroom' (2004-6)
      regarding its two aims: developing collaborative approaches to
      decision-making in schools, and advancing methodological understanding of
      children as action researchers. The project made a subsequent
      methodological contribution (children as researchers) to educational
      evaluation and policy in two international organisations. Since 2008, the
      project has had a direct and significant impact on children's
      participation in decision-making in Norfolk schools, as reported by the
      teachers and those who attended dissemination conferences and professional
      development initiatives, and nationally by educators who used the
      published report.
    "
1409,"
    University of East Anglia
    ","Allied Health Professions, Dentistry, Nursing and Pharmacy","
    The impact of Community-Based Rehabilitation (CBR) on improving access
        to rehabilitation services for people with disabilities
    ","
    Community-Based Rehabilitation (CBR) is a strategy for rehabilitation,
      equalisation of opportunity, poverty reduction and social inclusion of
      people with disabilities in low and middle income countries. Outcomes from
      CBR have been shown to increase independence, and enhance mobility and
      social inclusion of people with disabilities in low and middle income
      nations. CBR is currently implemented in over 90 countries and has enabled
      thousands of disabled children and adults across the globe to receive
      rehabilitative care within their own communities. CBR works by
      establishing community-based programmes which reach into areas that
      conventional services cannot, such as rural areas in developing countries
      with limited infrastructure; it is able to do this as programme leadership
      is not restricted to professionals but also involves the people with
      disabilities, their families and communities. Hartley has played a
      significant role in providing the evidence required by governments and
      NGOs to implement CBR to enable children and adults in developing
      countries to benefit from improved communication, education and community
      development. Hartley provided research evidence to help the approach
      develop from simple rehabilitation to an extensive mix of education,
      livelihood and empowerment. She fostered regional and global networks of
      practitioners and researchers, such as the CBR Africa Network, and these
      capacity building, networking and knowledge exchange activities have
      ensured that CBR research has had an impact in practice on a global scale.
    "
1432,"
    University of East Anglia
    ",Social Work and Social Policy,"
    Influencing reform of disability benefits for older people
    ","
    A potential policy change concerning disability benefits for older people
      (received by 2.44 million
      over 65s in Britain), which would have been based on an incorrect premise,
      has been avoided,
      partly as a result of research carried out in the submitting Unit. We
      highlighted a flaw in the income
      measure in analyses used in Government to conclude that disability
      benefits go to older people
      without substantial financial needs. Measuring income appropriately, our
      research showed that
      recipients of these benefits in fact tend to be on low incomes. We were
      quoted extensively in a
      Health Select Committee report and elsewhere. The policy change has been
      abandoned.
    "
1698,"
    Queen Margaret University
    ",Modern Languages and Linguistics,"
    Electropalatography (EPG) to Support Speech Pathology Assessment,
        Diagnosis and Intervention
    ","
    The impact is primarily in Public Health. It mainly concerns the adoption
      of and demand for a speech research technology, Electropalatography (EPG),
      for clinical diagnosis and treatment of speech disorders. Our continuing
      long-term and interdisciplinary research into EPG has increased our impact
      in this census period from the previous RAE2008, during which time the UOA
      had already been awarded a Queen's Anniversary Prize (2002) for working
      towards the clinical application of speech science.
    Financial Support from the charitable sector and the NHS for the training
      of classroom assistants and SLTs in EPG therapy is highlighted, along with
      user testimonials, unmet demand, and small-scale provision of the therapy.
    "
1735,"
    University of Central Lancashire
    ","Psychology, Psychiatry and Neuroscience","
    Developing policies and procedures for managing bullying and
        aggression in secure services.
    ","
    The research focuses on developing an understanding of the nature and
      extent of bullying behaviour within secure services, which has extended to
      developing methods of measurement, training and policy creation. This is a
      novel research area developed by Jane Ireland and colleagues, initially at
      UCLan and in HM Prison Service. It was later extended to NHS secure
      settings and other sites nationally and internationally. Key applications
      of this research include the preparation of policy and strategy documents
      that have formed the basis for anti-bullying strategies in HM Prison
      Service, NHS high secure psychiatric institutions, and the Canadian
      Correctional Service.
    "
1822,"
    Ulster
    ","Sport and Exercise Sciences, Leisure and Tourism","
    The development of physical activity guidelines for public health
    ","
    Research undertaken at the Centre for Physical Activity and Health
      Research within the Sport and Exercise Sciences Research Institute has
      directly contributed to changes in public policy surrounding the health
      benefits of exercise and has informed the development of international and
      national physical activity guidelines.
    "
1857,"
    University of East Anglia
    ","Public Health, Health Services and Primary Care","
    Implementation of effective clinical practice in African primary care
    ","
    In order to reduce morbidity and mortality from HIV/AIDS, tuberculosis
      and other chronic diseases, effective and cost-effective interventions to
      strengthen primary care through in-service nurse training were put in
      place as standard practice throughout South Africa (population 50
      million), based on our research. This programme has so far trained 1500
      trainers in all 8 provinces, who in turn have trained 18,000 primary care
      professionals in 1900 of all 3500 clinics nationally. South Africa, with
      5.8 million HIV+ people, and 500,000 newly infected with tuberculosis each
      year, based its Nurse Initiation and Monitoring of Antiretroviral
      Treatment policy on our training package and trials. These were landmark
      changes in primary health policy and provision in South Africa. The
      training methods and materials are also being used in Gambia, Malawi,
      Brazil and Portugal.
    "
1885,"
    Middlesex University
    ",Computer Science and Informatics,"
    ICT Inclusion and Design for All
    ","
    The case described shows that work reported in the 2008 RAE exploring the
      information seeking strategies of older users is currently having a direct
      and significant impact on government policy in respect of the broad area
      of digital inclusion. Impact has been influential in two primary areas:
      advice and guidance to policy making bodies and training needs for
      organisations so that design can accommodate industrial needs.
      Specifically there have been invited contributions and provision of expert
      advice to Government policy making forums and to lead on training for
      designing for all especially in the area of standardisation in Europe and
      worldwide, including under EU Mandate 376, which is in the process of
      establishing EU wide rules to ensure accessibility to information and
      communication technologies (ICT) products and services. The visible impact
      of these activities is the publication of several important reports and
      the use of the research to support the call for European Directive on the
      accessibility of public sector bodies' websites and the selection to work
      with the United Nations Committee on the Rights of Persons with
      Disabilities.
    "
1890,"
    Arts University Bournemouth
    ","Art and Design: History, Practice and Theory","
    Hard Times - photographic exhibition by Paul Wenham-Clarke, St
      Martin- in-the-Fields, London, 3 March - 30 June 2011
    ","
    This research impacted on two of the most important social and political
      issues to face western governments: joblessness and homelessness. Twenty
      photographic images and texts showed and described the circumstances of Big
        Issue vendors, some rough sleepers and some in temporary
      accommodation, trying to cope through the worst recession in decades and
      often feeling ostracized by society. Shown in London and Birmingham and
      cascaded across the media, it reached a wide audience. The impact of the
      exhibition and its aftermath consists in alerting and informing
      viewers/readers concerning the plight of joblessness and homelessness in
      the UK.
    "
