id,sentence,label
61,ii  impact associated with increased public participation in science   citizen science  by seeking the involvement of the public to use the  interactive website to report on squirrel populations thus providing a  research tool to generate data and to inform the public,0
62,this case study focuses on three science art collaborations primitive   streak wonderland and catalytic clothing catclo  undertaken since 1997 by professor helen storey,0
63,storey s work is  genuinely collaborative spanning arts sciences and new technology  fields and produces projects which illuminate aspects of science and  well being in ways that engage with the public communicate complicated  concepts and demonstrate the potential of science in an innovative and  accessible manner,0
64,the projects have reached huge audiences and have made  a significant contribution to raising public awareness of science and  issues faced by society,0
65,research undertaken at canterbury christ church university cccu studied  habitat enrichment in captive coyotes with the national wildlife research  center in utah  and herd composition of donkeys horses and mules with  the donkey sanctuary,0
66,these studies observed social and environmental  interactions addressing important welfare indicators in gregarious  species,0
67,the work identified welfare issues in both sites and provided the  necessary evidence to allow improvements to be made,0
68,specifically this research has 1  led to changes in the husbandry practice and policy in both partner  institutions that have improved animal welfare 2 improved how the donkey sanctuary trains international partners and  undertakes welfare education,0
69,young adults are a notoriously difficult group to engage in science  education  8212 but how do they  react to a theoretical zombiologist from the university of  glasgow s zombie institute for   theoretical studies zits,0
70,using an innovative platform to target  the delivery of complex  biomedical science to young people the zombie science comedy show has  effectively engaged  more than 26 000 young people and adults at more than 300 events touring  festivals and  secondary schools around the uk,1
71,more than 90% of the audience members  indicated that they  had learnt something new about biosciences from the show,0
72,the show has  received positive  enthusiastic reviews  8212 lifting science from the pages of a textbook and  bringing it literally back to  life,0
73,by putting public engagement at the heart of our deep sea research we  have delivered benefits to society of generating inspiration and   curiosity about science raising public awareness of our   research insights and their context and providing cultural   enrichment by supporting lifelong learning,0
74,we have achieved these  impacts through interactions with print online and broadcast media that  have brought our research to millions series of talks and events that  have inspired specific audiences of tens of thousands and a network of  interactive online resources that has enabled people worldwide to share in  our exploration of deep ocean environments and their biodiversity,0
75,dr ceri lewis research expeditions to the canadian high arctic to  investigate impacts of ocean acidification have informed educational  material introducing oceans education to schools both nationally and  internationally,0
76,lewis worked with digital explorer a non profit  organisation to provide free lesson plans and multi media resources on  ocean acidification and arctic climate change to classrooms both  nationally and internationally,0
77,the resulting education resources  informed by ceri s fieldwork are already being used by 1 225 uk secondary  schools i e,0
78,30% of secondary schools in the uk  reaching over 658 000  pupils within the first year of being launched,0
79,these school resources are  also being used internationally including a training programme in alaska  and outreach examples across europe,0
80,the bumblebee conservation trust bbct  a conservation charity launched  at the university of stirling in 2006 was aimed at bridging the gap  between research findings and conservation practice,0
81,bbct now has 11  staff offices and staff based in england wales and scotland 8 000  paying members and has involved gt 12 000 people in bumblebee recording  or conservation,0
82,other impacts include awareness raising through extensive  media coverage for bumblebee conservation creation of an education pack  for primary schools joint initiatives with a nationwide garden centre  chain wyevale and a supermarket morrisons  helping to create gt 2 000  ha of flower rich habitat involvement in a reintroduction attempt for the  locally extinct short haired bumblebee political lobbying and influencing  national and international policy,0
83,drawing upon her monograph and other wellcome trust supported publications on the norwich great hospital rawcliffe provided the material for a website www thegreathospital ac uk designed to bring this unique institution to the attention of a wider public and to enable the hospital s trustees to promote and preserve their grade one listed buildings,0
84,of the various english medieval hospital to have survived the dissolution of the monasteries this is the only one that continues to discharge a charitable function to the present day with its archives and fabric almost intact,0
85,through the ahrc knowledge catalyst scheme and in partnership with the trustees of the great hospital and the norwich heritage and regeneration trust heart  over  163 26 800 was raised for the creation of an online resource complete with video models to interest and inform schools tourists local history groups and to bring the hospital s unique attraction to the attention of the general public,0
86,the project has reached an international audience and has contributed significantly to unesco recognition for one of norwich s iconic buildings,0
87,reducing youth anti social behaviour and raising young people s educational aspirations are international priorities,0
88,research carried out by the university of greenwich has provided the basis for policy development on participation in higher education and has informed policy makers views about and practitioners work on anti social behaviour in schools in the uk and more widely,1
89,the impact through partnerships with a local authority and a charity are also described involving use of an assessment toolkit called the emotion behaviour aspiration toolkit ebat to address factors that limit the aspirations and social mobility of young people,0
90,the work is located in the university s research centre for children schools and families which has become a centre for research on anti social behaviour http  www2 gre ac uk about schools health research healthsocial ccsf,0
91,transitional justice institute s tji work on gender conflict and  transition demonstrates remarkable international impact showing effects  and benefits to institutional norms and policies civil society  positioning and legal enforcement at the state level,0
92,knowledge transfer  provided by tji research has influenced policy and legal change in the  regulation of gender norms in conflict and post conflict settings,1
93,debates  triggered by tji scholarly outputs have shaped policy agendas and critical  responses to them,1
94,the impact is regional national and international,0
95,this case study demonstrates that the transitional justice institute  tji peace process research has substantially impacted on key  stakeholders in multiple conflicted and post conflict states,0
96,impacts  include developing sustained relationships with public officials to inform  policymaking making recommendations for legal changes capacity building  with local non governmental organisations ngos on peace process issues  and addressing conflict related abuses informing public debate and  raising awareness of international and comparative legal standards among  local judiciaries subsequently applied in their work,1
97,impacts have  benefited a range of users and contributed to growing sensitivity to  victims needs in conflict resolution,0
98,dr kate bedford s work has demonstrated the limits of existing frameworks for addressing gender and sexuality in development policy and has had a significant impact in four main ways,0
99,first it has supported and influenced the work of the major ngos including sexuality policy watch and the bretton woods project action aid in holding development institutions to account on questions of gender equality,0
100,second it has had substantial influence on the work of transnational public bodies including unrisd  challenging conventional wisdom and stimulating debate among policymakers,0
101,third it has had considerable impact on how development practitioners are taught in the uk and beyond,0
102,finally it has enjoyed a sustained influence in shaping a new area of critical public debate improving public understanding of sexuality and development and engaging diverse international audiences,0
103,in the light of increased global attention to gender and development evident across several leading international institutions  bedford s research has stimulated important debate about policy orthodoxy and has directly influenced several campaigns for policy change,0
104,den boer s research into the relationship between extreme gender  population imbalances and state security has shaped public and political  debate within national and international media influenced public policy  and political campaigns and affected the provision of data services  within the organisation   for economic co operation and development oecd,1
105,the researchers  argument regarding asia s missing women continues to inform journalists   ngos  institutions  policy makers and the wider public s understanding  of the role played by gender imbalances when assessing state stability and  security in situations as diverse as gendercide in asia  youth uprisings and revolts and gang rape in india,0
106,this impact case study describes the development and application of  models of training and performance in elite cycling,0
107,these models have  been used by elite medal winning teams in their search for competitive  advantage in the uk by british cycling and british triathlon including  the gb olympic cycling and british triathlon teams and the british  paralympic team and internationally by the australian institute of  sport,0
108,these new cycling models have provided the basis for the  development of new training processes that are influencing the way in  which many nations prepare their elite riders,0
109,this work has contributed  directly to enhance elite sports science practice in the field of cycling  and the competitive advantage for british teams to which it contributes is  envied around the world,0
110,the adoption of the underlying algorithms for the  wattbike software has given our work a wider impact on sports practice  and training methods and it has been adapted for the map my tracks  website which is used by sports enthusiasts worldwide,0
111,research by dr sakis pappous on the legacy of the athens 2004 olympic  games in greece has challenged conventional wisdom that sporting  mega events automatically lead to health benefits for the host population  via a supposed increase in grassroots participation in sports and physical  activity,0
112,these findings were reviewed by the british medical journal  bmj and mainstream british media e g  bbc and the guardian to  stimulate and inform public debate on the health legacy of london 2012,0
113,pappous s research has also informed the department for culture media and  sport the house of commons and the house of lords about the difficulty in  achieving sustained sports participation after the olympic games,0
114,internationally pappous s research has informed debate in the us media  usa today and among sport managers and policy makers in africa south  america and europe,0
115,international policy makers informed and influenced by  pappous s findings include the nigerian minister of sports and the vice  director of the colombian department for sport physical activity and  leisure coldeportes,0
116,as a direct consequence of pappous s findings they  now acknowledge that a broader strategy promoting an active lifestyle must  be implemented if any sporting excitement caused by a mega event is to  sustain sports participation,0
117,the guide to receptors and channels has contributed to the  development and maintenance of the intellectual infrastructure of  pharmacology,0
118,the key tools it provides have influenced appropriate  identification of lead drug targets and how best to study them and as a  result it has received endorsement and financial support from the  pharmaceutical industry,0
119,it is used widely as a teaching aid for  undergraduates and research postgraduates and provides the general public  with accurate information on prescription drug action,0
120,it led to the  formation of the guide to pharmacology website in collaboration with the  international union of basic and clinical pharmacology,0
121,every week criminal firesetting in the uk causes 65 casualties or deaths 3 380 per year and costs  163 42 million  163 2 2 billion per year arson prevention bureau 2009,0
122,remarkably no standardised offender treatment programmes have been developed for this common costly and tragic offence,0
123,responding to this need psychologists from the school of psychology at the university of kent have recently developed the first empirically informed comprehensive theory of firesetting and from their theory they have derived the first standardised treatment programmes for firesetters,0
124,already the research is being used across the uk and australia in the training assessment and treatment practices of clinical professionals who work with adult firesetters,0
125,clinicians in the usa have also been trained in a treatment programme derived from the research,0
126,as a result enhanced specialised treatment of firesetters is being provided in secure establishments and community settings for the first time,1
127,further the assessment and treatment programmes developed by our researchers now play a central role in the care sentence planning and parole decisions for firesetters in the uk,0
128,this impact case study is based on a body of research that has enhanced  the assessment and treatment of female sexual offenders internationally,1
129,this clinical impact was underpinned by a series of unique qualitative and  quantitative studies that led to the discovery of female sexual offenders  offence styles and cognitive characteristics,0
130,the work has resulted in the  development of effective clinical practice training and guidelines,0
131,it has  been used by professionals to enhance their assessment and treatment of  female sexual offenders whose specific needs had not previously been  identified,1
132,written and performed by oliver double the stand up comedy performance saint   pancreas uses the medium of comedy to enhance public understanding  of type 1 diabetes and to challenge prevailing assumptions about the  condition within and beyond the community of patients and their families,0
133,as a live performance and on dvd the work has had impact on   diabetes sufferers  diabetes organisations in the uk and the us  charity and healthcare professionals   furthermore within the field of stand up comedy itself it has  contributed to challenging and broadening the aesthetic possibilities of  the form,0
134,the ahrc funded project imagining autism has had a significant and in  some cases life changing impact on the participants and their families  as well as on educational psychologists charities and experts working in  the fields of autism and cognitive functioning,0
135,the impacts are two fold   significant and lasting behavioural changes in the 22 participating   autistic children  revaluation of drama and play based methods to promote well being in   autistic children specifically by educational psychologists and   teaching staff at helen allison school the director of research at the   national autistic society and the consultant community paediatrician at   the children s assessment centre kent and canterbury hospital along   with 15 20 of her staff,1
136,the project has challenged stereotypes and departed from skills based  interventions which focus narrowly on specific cognitive or social  skills such as counting or dressing prevalent in education and health  settings leading to new understandings of the capabilities of a  marginalised group,0
137,it has demonstrated its capacity to transform lives,0
138,the case study addresses the impact of the project children decide  power participation and purpose in the primary classroom  2004 6  regarding its two aims developing collaborative approaches to  decision making in schools and advancing methodological understanding of  children as action researchers,0
139,the project made a subsequent  methodological contribution children as researchers to educational  evaluation and policy in two international organisations,0
140,since 2008 the  project has had a direct and significant impact on children s  participation in decision making in norfolk schools as reported by the  teachers and those who attended dissemination conferences and professional  development initiatives and nationally by educators who used the  published report,1
141,community based rehabilitation cbr is a strategy for rehabilitation  equalisation of opportunity poverty reduction and social inclusion of  people with disabilities in low and middle income countries,0
142,outcomes from  cbr have been shown to increase independence and enhance mobility and  social inclusion of people with disabilities in low and middle income  nations,1
143,cbr is currently implemented in over 90 countries and has enabled  thousands of disabled children and adults across the globe to receive  rehabilitative care within their own communities,1
144,cbr works by  establishing community based programmes which reach into areas that  conventional services cannot such as rural areas in developing countries  with limited infrastructure it is able to do this as programme leadership  is not restricted to professionals but also involves the people with  disabilities their families and communities,0
145,hartley has played a  significant role in providing the evidence required by governments and  ngos to implement cbr to enable children and adults in developing  countries to benefit from improved communication education and community  development,0
146,hartley provided research evidence to help the approach  develop from simple rehabilitation to an extensive mix of education  livelihood and empowerment,0
147,she fostered regional and global networks of  practitioners and researchers such as the cbr africa network and these  capacity building networking and knowledge exchange activities have  ensured that cbr research has had an impact in practice on a global scale,0
148,a potential policy change concerning disability benefits for older people  received by 2 44 million  over 65s in britain  which would have been based on an incorrect premise  has been avoided  partly as a result of research carried out in the submitting unit,1
149,we  highlighted a flaw in the income  measure in analyses used in government to conclude that disability  benefits go to older people  without substantial financial needs,0
150,measuring income appropriately our  research showed that  recipients of these benefits in fact tend to be on low incomes,0
151,we were  quoted extensively in a  health select committee report and elsewhere,0
152,the policy change has been  abandoned,0
153,the impact is primarily in public health,0
154,it mainly concerns the adoption  of and demand for a speech research technology electropalatography epg   for clinical diagnosis and treatment of speech disorders,0
155,our continuing  long term and interdisciplinary research into epg has increased our impact  in this census period from the previous rae2008 during which time the uoa  had already been awarded a queen s anniversary prize 2002 for working  towards the clinical application of speech science,0
156,financial support from the charitable sector and the nhs for the training  of classroom assistants and slts in epg therapy is highlighted along with  user testimonials unmet demand and small scale provision of the therapy,0
157,the research focuses on developing an understanding of the nature and  extent of bullying behaviour within secure services which has extended to  developing methods of measurement training and policy creation,0
158,this is a  novel research area developed by jane ireland and colleagues initially at  uclan and in hm prison service,0
159,it was later extended to nhs secure  settings and other sites nationally and internationally,0
160,key applications  of this research include the preparation of policy and strategy documents  that have formed the basis for anti bullying strategies in hm prison  service nhs high secure psychiatric institutions and the canadian  correctional service,0
161,research undertaken at the centre for physical activity and health  research within the sport and exercise sciences research institute has  directly contributed to changes in public policy surrounding the health  benefits of exercise and has informed the development of international and  national physical activity guidelines,1
162,in order to reduce morbidity and mortality from hiv aids tuberculosis  and other chronic diseases effective and cost effective interventions to  strengthen primary care through in service nurse training were put in  place as standard practice throughout south africa population 50  million  based on our research,0
163,this programme has so far trained 1500  trainers in all 8 provinces who in turn have trained 18 000 primary care  professionals in 1900 of all 3500 clinics nationally,0
164,south africa with  5 8 million hiv people and 500 000 newly infected with tuberculosis each  year based its nurse initiation and monitoring of antiretroviral  treatment policy on our training package and trials,1
165,these were landmark  changes in primary health policy and provision in south africa,0
166,the  training methods and materials are also being used in gambia malawi  brazil and portugal,0
167,the case described shows that work reported in the 2008 rae exploring the  information seeking strategies of older users is currently having a direct  and significant impact on government policy in respect of the broad area  of digital inclusion,1
168,impact has been influential in two primary areas  advice and guidance to policy making bodies and training needs for  organisations so that design can accommodate industrial needs,0
169,specifically there have been invited contributions and provision of expert  advice to government policy making forums and to lead on training for  designing for all especially in the area of standardisation in europe and  worldwide including under eu mandate 376 which is in the process of  establishing eu wide rules to ensure accessibility to information and  communication technologies ict products and services,0
170,the visible impact  of these activities is the publication of several important reports and  the use of the research to support the call for european directive on the  accessibility of public sector bodies websites and the selection to work  with the united nations committee on the rights of persons with  disabilities,0
171,this research impacted on two of the most important social and political  issues to face western governments joblessness and homelessness,0
172,twenty  photographic images and texts showed and described the circumstances of big   issue vendors some rough sleepers and some in temporary  accommodation trying to cope through the worst recession in decades and  often feeling ostracized by society,0
173,shown in london and birmingham and  cascaded across the media it reached a wide audience,0
174,the impact of the  exhibition and its aftermath consists in alerting and informing  viewers readers concerning the plight of joblessness and homelessness in  the uk,0
175,emerging from investigations of social exclusion during the 1990s the  unit s research into minority rights has led to outputs and consultancy  ranging across political participation identity rights protection and  international criminal law,0
176,the impact claimed here falls in two main  channels,0
177,firstly research on socio economic group rights amplified by  castellino s work as co chair of the relevant un delegated group has made  a significant input into the un sustainable development goals sdgs  2015 30,0
178,secondly research has been incorporated into practice and  capacity building through projects involving judiciaries advocates  statutory bodies and ngos,1
179,beneficiaries include the public across 194  states who will benefit from implementation of sdgs over their 15 years  lifespan and civil society bodies and their users,0
180,globally many health research funding organisations public and  charitable felt the need to demonstrate to policymakers and the public  how their investments in research were benefitting society,0
181,herg s  research on developing techniques for assessing the payback or impact  from health research tackled this need,0
182,the payback stream of research  itself has had significant wide reaching and cumulative impacts,0
183,first  internationally health research funding bodies adopted the framework in  their evaluation strategies including to provide accountability,0
184,second  many stakeholders made extensive use the findings of payback studies in  public debate and private lobbying for public expenditure on health  research,0
185,third governments public research funding bodies and medical  research charities from the uk to australia used the findings from  payback studies to inform decisions regarding the levels and distribution  of health research funding with the aim of increasing the health and  economic benefits that come from investments in research,1
186,professor andrew oswald is a pioneer in the study of the    economics of happiness and well being demonstrating that    employment gender age and bereavement have a significant impact    on happiness and giving form and substance to measures that many    consider to have been lacking in modern governance,0
187,oswald s    research has shaped public attitudes and understanding about how    both personal and aggregate economic outcomes influence individual    happiness and has driven policy makers to consider happiness and    well being as legitimate policy goals in the uk and abroad,0
188,building on a background in nutritional science professor dowler s  research on social and policy aspects of food nutrition and household  food security has created impact at local national and international  levels,0
189,her membership of key national expert advisory panels and  councils both official and voluntary has allowed the research to inform  policy making as well as print and broadcast media debates on many issues  notably the consequences of low wages and benefit cuts on the diet of  low income households the role played by food banks in relieving food  poverty and the benefits of local food networks in securing  community level food resilience,0
190,middlesex university s applied health psychology research on medically  assisted reproduction mar has impacted in three areas,0
191,first all  parental order reporters and accredited infertility counsellors in the uk  are exposed to the research through standard professional training and  practice materials,0
192,secondly research has informed human fertility and  embryology authority hfea policy on surrogacy and gamete donation,0
193,thirdly hfea commissioned research on elective single embryo transfer  eset and stakeholder group membership has contributed to national  guidelines resulting in decreased numbers of embryos transferred in uk  clinical practice dramatically reducing multiple births and associated  maternal and infant morbidity and mortality,0
194,research conducted by warwick s centre for educational development  appraisal and research cedar provided vital supporting evidence for the  continuation of funding for two government sponsored educational schemes  the dance and drama award scheme run by the department for education dfe  and subsequently the learning and skills council and the royal shakespeare  company s rsc learning and performance network,0
195,performing arts colleges  and their students as well as the wider creative economy have benefitted  from cedar s recommendation to the government to continue the dada scheme  resulting in a  163 14m per annum investment in the performing arts sector  whilst the training and development agency for schools tda commissioned  cedar to evaluate the impact of the rsc s learning and performance network  lpn on teachers and learners resulting in a successful bid by the rsc  for funding to continue the lpn,0
196,the research also fed into the  development of a collaborative practitioner training programme with the  rsc teaching shakespeare launched in 2012,0
197,this case study demonstrates how research into children with speech  language and communication needs slcn has had impact by influencing  government policy and legislation improving provision for children and  their parents providing resources and support for voluntary  organisations and assisting local authorities and trusts in the  management of slcn services,1
198,the research informed the 2008 bercow review  of provision for children with slcn which in turn led to the department  for education dfe better communication action plan for improving  educational provision,0
199,further research by the team carried out as part  of this action plan underpinned the all party parliamentary group on  speech and language difficulties 2013 report and the development of the  children and families bill 2013,1
200,in addition the team have collaborated  extensively with practitioners and voluntary organisations including a  comprehensive two year dfe funded programme with the communication trust  2013 15 to educate and raise awareness of slcn among its 50 constituent  organisations and develop practitioners knowledge and skills,0
201,this case study describes the impact of research on new approaches to the  organisation and delivery of social work services for children in  out of home care with international work led by bilson and work in  england involving stanley bilson larkins and ridley,0
202,the national  evaluation of social work practices has had significant impact on the  development of this model of service delivery and is shaping the  long term future of independent social work organisations in england,0
203,the  international work has contributed to reducing the use of institutional  care for children in developing countries and has provided tools for  developing social services,1
204,this case study concerns a body of research by dr julie ridley dr helen spandler and dr karen newbigging into self directed support sds and direct payments dps  which examines perspectives and experiences of policies to promote choice control and flexibility in social care and provides a critique distinguishing between rhetoric and reality,0
205,early qualitative and action research focused specifically on mental health including work for the scottish executive ridley and the department of health spandler  leading to cutting edge policy critiques spandler  engagement with the field to distil key implementation themes newbigging and later to broader based evaluation of sds policy implementation in scotland,0
206,collectively and over time this work has had a direct influence on social care policy and law across the uk as outlined below,1
207,the education gap between children from poor homes and their peers is  established before they start primary school,0
208,these early inequalities  heavily influence children s later outcomes,0
209,fast families and schools  together  is a parenting programme that aims to reduce the educational  effects of deprivation and promote family cohesion,0
210,we have carried out  evaluations of the programme,0
211,as a result the uk government and  international agencies have endorsed fast,0
212,specifically we carried out  research that has identified strategies for effective replication of the  programme across a range of disadvantaged communities in different  contexts,0
213,the research underpinned save the children uk s decision to  support the roll out of this intervention with  163 7m funding from lloyds  bank and morrison s grocery chain,0
214,our evaluations of the roll out  demonstrate a range of impacts on beneficiaries namely children and  families increased parental involvement in schools and increased social  capital improved parent to parent support networks increased parent  community leadership positive child mental health outcomes and increased  social skills improved academic and school behaviour reduced aggression  and anxiety as well as reduced aggressive and delinquent behaviours after  eight weeks,1
215,the beneficiaries are children their families and schools  and society at large,0
216,this case study shows how alan walker s internationally acclaimed  research on active ageing has  led to policy and practice changes locally nationally and internationally  in response to what is  widely recognised as the grand societal challenge of population ageing,1
217,walker developed the  concept of active ageing which has been adopted by national governments in  quebec and  northern ireland national charities and sheffield city council leading  in each case to significant  policy change which is benefiting older people,1
218,as a result of this work  walker was awarded the  inaugural esrc impact champion prize in 2013,0
